Designator,Mid X,Mid Y,Rotation,Layer
C201,-12.95,-21.15,90.0,top
C202,-16.7,-23.0,180.0,top
C204,-5.4,-15.45,90.0,top
C205,-7.15,-7.05,90.0,top
C206,-1.3,-9.9,0.0,top
C207,-1.3,-8.7,0.0,top
C208,-2.85,-7.25,0.0,top
C209,-2.9,-15.5,270.0,top
C210,-9.05,-15.55,270.0,top
C211,-1.95,-14.5,270.0,top
C212,-10.55,-12.45,180.0,top
C213,-5.7,-16.75,180.0,top
C214,-10.55,-8.6,180.0,top
C215,-10.6,-15.85,180.0,top
C216,-12.1,-14.25,270.0,top
C217,-10.5,-61.5,90.0,top
C218,-8.3,-61.5,90.0,top
C219,-9.35,-16.95,180.0,top
C220,-15.65,-6.55,180.0,top
C221,-15.65,-9.25,180.0,top
C222,-12.85,-11.1,270.0,top
C223,-10.15,-11.1,270.0,top
C224,-11.5,-61.5,270.0,top
C225,-11.85,-17.0,180.0,top
C501,18.6,-15.45,90.0,top
C502,18.3,-16.75,180.0,top
C503,21.15,-7.25,0.0,top
C504,22.05,-14.6,270.0,top
C505,13.45,-12.45,180.0,top
C506,13.45,-9.45,180.0,top
C507,16.85,-7.05,90.0,top
C508,14.95,-15.55,270.0,top
C509,21.1,-15.5,270.0,top
C511,22.7,-9.9,0.0,top
C512,22.7,-8.7,0.0,top
C513,8.35,-6.55,180.0,top
C514,8.35,-9.25,180.0,top
C515,11.15,-11.1,270.0,top
C516,13.85,-11.1,270.0,top
C517,11.9,-14.25,270.0,top
C518,13.4,-15.85,180.0,top
C519,14.6,-16.95,180.0,top
C520,17.75,-18.9,90.0,top
C521,19.5,-19.5,180.0,top
C522,13.6,-61.5,90.0,top
C523,15.8,-61.5,90.0,top
C524,12.6,-61.5,270.0,top
C525,12.4,-16.9,180.0,top
C601,-103.3,-72.7,0.0,top
C602,-103.3,-71.75,0.0,top
C603,-111.55,-71.05,90.0,top
C604,-105.65,-69.55,90.0,top
C605,-106.35,-78.75,270.0,top
C606,-109.35,-78.75,270.0,top
C607,-111.75,-75.35,180.0,top
C608,-103.25,-77.1,0.0,top
C609,-103.3,-70.825,0.0,top
C610,-107.7,-69.6,90.0,top
C611,-108.9,-69.6,90.0,top
C612,-110.1,-69.6,90.0,top
C613,-114.502671,-81.220349,270.0,top
C614,-111.802671,-81.220349,270.0,top
C615,-109.1,-81.2,270.0,top
C616,-107.7,-78.35,0.0,top
C617,-102.8,-79.2,0.0,top
C618,-102.8,-78.2,0.0,top
D301,-132.5,-17.25,270.0,top
D302,-113.5,-17.25,270.0,top
D303,-94.5,-12.25,270.0,top
D304,-75.5,-9.75,270.0,top
D305,-56.5,-12.25,270.0,top
D306,-37.5,-14.75,270.0,top
D307,-132.5,-36.25,270.0,top
D308,-113.5,-36.25,270.0,top
D309,-94.5,-31.25,270.0,top
D310,-75.5,-28.75,270.0,top
D311,-56.5,-31.25,270.0,top
D312,-37.5,-33.9,270.0,top
D313,-132.5,-55.25,270.0,top
D314,-113.5,-55.25,270.0,top
D315,-94.5,-50.25,270.0,top
D316,-75.5,-47.75,270.0,top
D317,-56.5,-50.25,270.0,top
D318,-37.5,-52.75,270.0,top
D319,-66.5,-70.0,270.0,top
D320,-45.0,-71.5,270.0,top
D321,-26.0,-79.5,270.0,top
D401,121.0,-17.25,270.0,top
D402,102.0,-17.25,270.0,top
D403,83.0,-12.25,270.0,top
D404,64.0,-9.75,270.0,top
D405,45.0,-12.25,270.0,top
D406,26.0,-14.75,270.0,top
D407,121.0,-36.25,270.0,top
D408,102.0,-36.25,270.0,top
D409,83.0,-31.25,270.0,top
D410,64.0,-28.75,270.0,top
D411,45.0,-31.25,270.0,top
D412,26.0,-33.9,270.0,top
D413,121.0,-55.25,270.0,top
D414,102.0,-55.25,270.0,top
D415,83.0,-50.25,270.0,top
D416,64.0,-47.75,270.0,top
D417,45.0,-50.25,270.0,top
D418,26.0,-52.75,270.0,top
D419,71.0,-69.0,270.0,top
D420,49.5,-69.5,270.0,top
D421,28.5,-81.5,270.0,top
D601,-112.3,-69.1,0.0,top
FB201,-13.5,-23.0,180.0,top
FB202,-9.4,-61.5,270.0,top
FB203,-7.2,-61.5,90.0,top
FB501,16.45,-18.9,90.0,top
FB502,14.7,-61.5,270.0,top
FB503,16.9,-61.5,90.0,top
FB601,-101.1,-72.55,0.0,top
J201,-3.35,-23.75,90.0,top
J203,-10.0,-55.95,0.0,bottom
J204,-15.6,-26.5,270.0,top
J5_11,-115.275,-7.8,0.0,top
J5_10,-101.2125,-84.2,0.0,top
J5_9,-101.2125,-68.2,0.0,top
J5_8,105.3,-64.7,0.0,top
J5_7,13.2,0.2,0.0,top
J5_6,-10.8,0.2,0.0,top
J5_5,-101.2125,-64.7,0.0,top
J5_4,-121.2,-76.325,90.0,top
J5_3,-47.912469,-82.085711,351.7,top
J5_2,119.3,-7.8,0.0,top
J5,52.249876,-82.042846,8.3,top
J502,7.35,-23.75,270.0,top
J503,13.95,-55.95,0.0,bottom
J504,19.6,-26.5,90.0,top
J602,-97.5,-76.2,90.0,top
L201,-4.0,-15.85,90.0,top
L202,-4.3,-17.55,0.0,top
L203,-15.2,-7.9,270.0,top
L204,-11.5,-10.65,0.0,top
L205,-14.2,-10.65,0.0,top
L501,19.7,-17.55,0.0,top
L502,20.0,-15.85,90.0,top
L503,8.8,-7.9,270.0,top
L504,9.8,-10.65,0.0,top
L505,12.5,-10.65,0.0,top
L603,-113.152671,-80.770349,0.0,top
L604,-110.45,-80.75,0.0,top
L605,-108.15,-79.7,90.0,top
R101,-10.55,-9.6,0.0,top
R201,-7.6,-16.95,180.0,top
R202,-7.6,-16.05,0.0,top
R203,-1.9,-17.3,270.0,top
R204,-2.9,-17.3,270.0,top
R206,-13.1,-18.7,270.0,top
R502,16.4,-16.95,180.0,top
R503,16.4,-16.05,0.0,top
R504,10.7,-16.5,270.0,top
R505,11.2,-18.0,180.0,top
R506,16.3,-21.2,270.0,top
R601,-106.6,-69.55,270.0,top
SW101,-1.5,-63.75,90.0,top
SW102,5.25,-63.75,270.0,top
SW301,-124.75,-17.25,0.0,top
SW302,-105.75,-17.25,0.0,top
SW303,-86.75,-12.25,0.0,top
SW304,-67.75,-9.75,0.0,top
SW305,-48.75,-12.25,0.0,top
SW306,-29.75,-14.75,0.0,top
SW307,-124.75,-36.25,0.0,top
SW308,-105.75,-36.25,0.0,top
SW309,-86.83,-31.25,0.0,top
SW310,-67.75,-28.75,0.0,top
SW311,-48.75,-31.25,0.0,top
SW312,-29.75,-33.75,0.0,top
SW313,-124.75,-55.25,0.0,top
SW314,-105.75,-55.25,0.0,top
SW315,-86.83,-50.25,0.0,top
SW316,-67.75,-47.75,0.0,top
SW317,-48.75,-50.25,0.0,top
SW318,-29.75,-52.75,0.0,top
SW319,-58.75,-70.25,0.0,top
SW320,-37.25,-72.75,345.0,top
SW321,-14.95,-76.45,60.0,top
SW401,128.75,-17.25,0.0,top
SW402,109.75,-17.25,0.0,top
SW403,90.75,-12.25,0.0,top
SW404,71.75,-9.75,0.0,top
SW405,52.75,-12.25,0.0,top
SW406,33.75,-14.75,0.0,top
SW407,128.75,-36.25,0.0,top
SW408,109.75,-36.25,0.0,top
SW409,90.83,-31.25,0.0,top
SW410,71.75,-28.75,0.0,top
SW411,52.75,-31.25,0.0,top
SW412,33.75,-33.75,0.0,top
SW413,128.75,-55.25,0.0,top
SW414,109.75,-55.25,0.0,top
SW415,90.83,-50.25,0.0,top
SW416,71.75,-47.75,0.0,top
SW417,52.75,-50.25,0.0,top
SW418,33.75,-52.75,0.0,top
SW419,62.75,-70.25,0.0,top
SW420,41.25,-72.75,15.0,top
SW421,18.95,-76.45,300.0,top
SW601,-103.475,-81.95,0.0,top
U201,-6.0,-11.25,180.0,top
U202,-10.25,-23.75,180.0,top
U203,-10.25,-19.25,0.0,top
U204,-15.6875,-20.6,0.0,top
U501,18.0,-11.25,180.0,top
U502,14.25,-23.75,0.0,top
U503,18.75,-21.85,180.0,top
U504,13.9,-19.8,90.0,top
U601,-107.55,-74.2,270.0,top
U602,-101.85,-75.0,180.0,top
Y201,-10.6,-14.15,90.0,top
Y501,13.4,-14.15,90.0,top
Y601,-104.65,-78.65,270.0,top
