Designator,Mid X,Mid Y,Rotation,Layer
_5,150.2,-112.9,0.0,top
_4,183.0,-73.1,0.0,top
_3,107.053553,-76.646447,0.0,top
_2,107.053553,-95.6,0.0,top
,196.803553,-120.5,0.0,top
SW2_21,154.563553,-97.5,0.0,top
SW2_20,173.563553,-81.271447,0.0,top
SW2_19,154.563553,-78.5,0.0,top
SW2_18,192.563553,-102.646447,0.0,top
SW2_17,163.75,-120.25,0.0,top
SW2_16,135.563553,-62.271447,0.0,top
SW2_15,116.563553,-67.021447,0.0,top
SW2_14,207.303553,-126.381447,330.0,top
SW2_13,135.563553,-81.271447,0.0,top
SW2_12,97.563553,-105.021447,0.0,top
SW2_11,173.563553,-62.271447,0.0,top
SW2_10,154.563553,-59.5,0.0,top
SW2_9,116.563553,-105.021447,0.0,top
SW2_8,116.563553,-86.021447,0.0,top
SW2_7,173.563553,-100.271447,0.0,top
SW2_6,97.563553,-86.021447,0.0,top
SW2_5,192.563553,-64.646447,0.0,top
SW2_4,135.563553,-100.271447,0.0,top
SW2_3,97.563553,-67.021447,0.0,top
SW2_2,185.045553,-122.640447,345.0,top
SW2,192.563553,-83.646447,0.0,top
